CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Complain,Satisfaction Score,Card Type,Point Earned
727,Germany,Male,39,5,80615.46,2,0,0,180962.32,0,0,3,GOLD,892
539,France,Female,29,4,0.0,2,1,1,100919.19,0,0,5,SILVER,281
647,Spain,Female,64,1,91216.0,1,1,1,41800.18,0,0,1,DIAMOND,402
507,France,Male,41,3,58820.32,2,1,1,138536.09,0,0,3,PLATINUM,895
696,France,Female,31,8,0.0,2,0,0,191074.11,0,0,4,SILVER,665
797,Spain,Female,31,8,0.0,2,1,0,117916.63,0,0,5,DIAMOND,346
733,Germany,Male,40,5,125725.02,2,1,1,50783.1,0,0,3,DIAMOND,656
678,Germany,Female,40,8,128644.46,1,0,0,167673.37,0,0,2,GOLD,751
501,France,Male,57,10,0.0,2,1,1,47847.19,0,0,5,PLATINUM,374
702,Germany,Female,36,2,105264.88,2,1,1,52909.87,0,0,3,GOLD,898
615,France,Male,32,1,0.0,2,0,0,2139.25,0,0,4,PLATINUM,883
538,France,Male,33,6,93791.38,1,1,1,199249.29,0,0,5,PLATINUM,718
763,France,Female,23,2,0.0,2,1,0,153983.99,0,0,4,DIAMOND,530
700,France,Female,32,3,0.0,1,0,0,95740.37,0,0,2,SILVER,790
774,Spain,Female,43,1,116360.07,1,1,0,17004.14,0,0,5,SILVER,239
518,France,Female,27,1,133801.49,1,1,1,143315.57,0,0,1,DIAMOND,938
630,Spain,Male,30,3,0.0,2,0,1,10486.69,0,0,5,PLATINUM,274
421,France,Male,34,2,0.0,2,1,1,96615.23,0,0,1,GOLD,393
611,France,Male,27,7,0.0,2,1,1,157474.1,0,0,2,DIAMOND,231
677,Germany,Female,26,6,98723.67,1,0,1,151146.67,0,0,5,GOLD,425
623,France,Male,48,5,118469.38,1,1,1,158590.25,0,0,4,PLATINUM,346
645,Spain,Female,37,7,0.0,2,1,0,13589.93,0,0,4,DIAMOND,318
612,France,Female,38,7,110615.47,1,1,1,193502.93,0,0,5,DIAMOND,802
610,France,Female,31,6,107784.65,1,1,1,141137.53,0,0,4,PLATINUM,998
540,France,Male,41,3,0.0,2,1,0,121098.65,0,0,2,GOLD,781
652,Germany,Male,41,9,159434.03,1,1,0,178373.93,0,0,5,GOLD,856
786,France,Male,34,3,137361.96,1,0,0,183682.09,0,0,1,SILVER,872
602,Germany,Male,32,7,184715.86,2,1,0,113781.99,0,0,5,GOLD,879
652,Spain,Male,37,7,0.0,2,1,0,68789.93,0,0,4,GOLD,932
669,Germany,Male,45,1,123949.75,1,0,0,110881.56,0,0,2,DIAMOND,298
768,France,Male,25,6,0.0,2,1,1,21215.67,0,0,3,PLATINUM,928
816,Spain,Male,67,6,151858.98,1,1,1,72814.31,0,0,5,GOLD,459
678,France,Female,32,9,0.0,1,1,1,148210.64,0,0,4,GOLD,983
